시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
영월화석박물관,사립,강원도 영월군 주천면 평창강로 137,,37.293146,128.3406170484,033-375-0088,영월화석박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-0088,영월화석박물관,2020-01-01,4270000,강원도 영월군
호안다구박물관,사립,강원도 영월군 김삿갓면 내리계곡로 1088,,37.1057914127,128.6770570161,033-378-5779,호안다구박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-378-5779,호안다구박물관,2020-01-01,4270000,강원도 영월군
별마로천문대,국립,강원도 영월군 영월읍 천문대길397,,37.1994674820,128.4857304474,033-374-7460,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-374-7460,영월군청,2020-01-01,4270000,강원도 영월군
단종역사관,국립,강원도 영월군 영월읍 단종로190,,37.1968185613,128.4528928334,033-370-2656,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-370-2656,영월군청,2020-01-01,4270000,강원도 영월군
난고김삿갓문학관,국립,강원도 영월군 김삿갓면 김삿갓로 216-22,,37.0794920057,128.6017366158,033-375-7900,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-7900,영월군청,2020-01-01,4270000,강원도 영월군
동강사진박물관,국립,강원도 영월군 영월읍 영월로 1909-10,,37.1819399427,128.461504,033-375-4554,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-4554,영월군청,2020-01-01,4270000,강원도 영월군
영월동굴생태관,국립,강원도 영월군 김삿갓면 영월동로 1121-15,,37.1303567508,128.5367418711,033-372-6828,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-6828,영월군청,2020-01-01,4270000,강원도 영월군
강원도탄광문화촌,국립,강원도 영월군 북면 밤재로 351,,37.2631059031,128.4669049446,033-372-1520,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-1520,영월군청,2020-01-01,4270000,강원도 영월군
동강생태정보센터,국립,강원도 영월군 영월읍 동강로716,,37.2282057195,128.5054549884,033-375-1155,영월군,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-1155,영월군청,2020-01-01,4270000,강원도 영월군
포항시립미술관,공립,경상북도 포항시 북구 환호공원길 10,경상북도 포항시 북구 환호동 351,36.0662771102,129.3910776917,054-270-4631,포항시립미술관,http://www.poma.kr,커피숍+아트샵+도서관+수유실,10:00,18:00,09:00,18:00,매주 월요일(월요일이 공휴일인 경우 정상개관 후 그 다음 첫번째 평일에 휴관),0,0,0,,"포항시립미술관은 2009년 12월 22일 개관하여, 포항 문화의 근간인 ''''''''Steel''''''''을 테마로 ''''''''Steel Art'''''''' 컬렉션과 전시기획에 주력하고 있으며, ''''''''시민이 감동하는, 작지만 차별화된, 세계적 미술관''''''''을 지향하고 있습니다.","(일반) 101, 102, 105, 131, 200, 600, 700번 환호공원 네거리 하차, 도보 3분",054-270-4631,포항시립미술관,2020-01-02,5020000,경상북도 포항시
영일민속박물관,공립,경상북도 포항시 북구 흥해읍 한동로 51,경상북도 포항시 북구 흥해읍 성내리 39-8,36.110838,129.3471965977,054-270-5811,포항시,http://www.pohang.go.kr,,09:00,18:00,09:00,18:00,"신정연휴, 추석연휴 및 설연휴, 공휴일 다음날",0,0,0,,향토풍습 및 민속유물을 영구보존하고자 지역 주민등의 뜻을 모아 구 영일군과 영일문화원이 공동으로 헌종 원년(1835년)에 건립된 당시 흥해군의 동헌 건물이었던 제남헌을 수리하여 1983년 10월29일 개관이후 1985년 5월 제2전시실을 신축하여 민속박물관으로서는 국내최초로 1987년 6월 30일 문화부로 부터 박물관으로 지정됨.,시내에서 좌석버스 500번 일반버스 107번 이용. 흥해환승센터 하차,054-270-2275,포항시문화예술과,2020-01-02,5020000,경상북도 포항시
계양산성박물관,공립,인천광역시 계양구 계양산로 101,인천광역시 계양구 계산동 548-14,37.548054,126.7270316,032-450-8317,인천광역시 계양구청,http://museum.gyeyang.go.kr/,카페테리아+야외매점+주차장,09:00,18:00,09:00,18:00,월(단 공휴일과 겹치는 경우 그 다음날 휴관)+1월1일+설 당일+추석 당일,1000,0,0,군경 500원,전국 최초 산성전문박물관,,032-450-8317,인천광역시 계양구청,2022-08-19,3550000,인천광역시 계양구
김홍도미술관,공립,경기도 안산시 상록구 충장로 422,경기도 안산시 상록구 성포동 737,37.31603662,126.8517361,031-481-0505,안산문화재단,https://www.ansanart.com/main/danwon/index.do,카페(미술관옆집),10:00,18:00,10:00,18:00,월+1월1일+설당일+추석당일,0,0,0,전시마다 상이함(무료 or 유료),단원미술관은 단원 김홍도의 예술혼이 살아 숨쉬는 문화예술도시 안산시가 건립한 최초의 공립미술관(제1종 전문미술관),"시내버스 : 23, 31, 52번 이용(성포동 홈플러스 앞 하차, 도보 5분) 지하철 : 4호선 한대앞역 하차(3번출구) -&gt;버스 환승(31, 33, 52번) [성포동 홈플러스 앞 하차, 도보 5분]",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
조안베어뮤지엄,사립,제주특별자치도 서귀포시 대포로 113,,33.24025015,126.4341101,064-739-1024,조안베어뮤지엄,http://www.joannestudio.co.kr/,,09:00,17:00,09:00,17:00,일,8000,7000,6000,도민할인,,,064-710-3324,제주특별자치도청 문화정책과,2022-07-10,6500000,제주특별자치도
백영수미술관,사립,경기도 의정부시 안말로58번안길 55-1,경기도 의정부시 호원동 260-13,37.71369448,127.0444385,031-873-4613,재단법인 백영수미술문화재단,http://blog.naver.com/pysmuseum,남/녀 화장실,10:00,18:00,10:00,18:00,월+1월1일+설연휴+추석연휴,5000,3000,2000,의정부시민 4000원+군인 3000원+4세 미만 무료,"비영리재단법인 백영수미술문화재단 산하 (재)백영수미술관은 사회 환원된 공익기관으로서 1970년대부터 소유한 의정부백영수작업실 터에 설립된 의정부 1호 등록미술관임. 한국최초의 추상미술그룹인 신사실파 중 1인으로 35년간의 프랑스에서의 작품 등, 화가백영수(1922~2018)의 일생을 통해 남긴 미술작품들을 기념, 보존, 연구하며 미술문화 전시, 교육사업 등 지역 문화발전과 한국미술문화진흥에 이바지함을 목적으로 함.","· 지하철 - 1호선 망월사역 2번 출구로 나와 도보 566m(9분 소요)· 버스 - ‘안말, 병무청, 호원예비군훈련장앞’ 정류장 하차 후 도보 432m(6분 소요)(5, 7, 10, 36, 39, 39-1, 39-4, 72, 72-3, 118, 133, 106, 108, 203, 203-1, 203-2A, 206-1)· 승용차 [도봉산역 방면에서 오실 경우]평화로-평화로 243번길 새마을금고방향 좌회전 161m 직진 → 안말어린이집에서 우회전 92m직진  [회룡역 방면에서 오실 경우]평화로-평화로 243번길 새마을금고 방향 우회전 161m 직진 → 안말어린이집에서 우회전 92m직진",031-873-4613,재단법인 백영수미술문화재단,2022-08-26,3820000,경기도 의정부시
재송역사박물관,공립,부산광역시 해운대구 재반로63번길 23,부산광역시 해운대구 재송동 274-2,35.1846356,129.1251954290,051-749-5972,부산광역시 해운대구청,,,10:00,17:00,00:00,00:00,공휴일,0,0,0,,재송동 역사박물관,동해선 센텀역 3번 출구 하차,051-749-5972,부산광역시 해운대구청,2022-10-18,3330000,부산광역시 해운대구
조각보박물관,사립,부산광역시 해운대구 좌동순환로 25-1,부산광역시 해운대구 좌동 1352-3,35.1686940521,129.1661950918,051-744-0026,조각보박물관,http://www.조각보박물관.kr/,,14:00,16:00,00:00,00:00,금 제외,0,0,0,금(사전예약),주천 김순향 조각보 박물관,부산 지하철 중동역 10번 출구 하차,051-744-0026,조각보박물관,2022-10-18,3330000,부산광역시 해운대구
무비인더박스,사립,부산광역시 해운대구 해운대해변로209번길 8-3,부산광역시 해운대구 우동 653-2,35.1593336490,129.1543080716,051-747-2153,무비인더박스,http://cafe.naver.com/mibmib,,10:00,18:00,10:00,18:00,월,5000,5000,3000,,국내 최초 SF영화모형 전시관,부산 지하철 2호선 동백역 하차,051-747-2153,무비인더박스,2022-10-18,3330000,부산광역시 해운대구
부산시립미술관,공립,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,35.1666871626,129.1370272704,0507-1404-260,부산광역시,art.busan.go.kr,카페,10:00,18:00,10:00,18:00,월,2000,1000,1000,,각 장르별 미술작품 전시,부산 지하철 2호선 벡스코역 하차,0507-1404-260,부산광역시,2022-10-18,3330000,부산광역시 해운대구
고은사진미술관,사립,부산광역시 해운대구 해운대로452번길 16,부산광역시 해운대구 우동 1005-17,35.1632784,129.1412106571,051-746-0055,고은문화재단,http://www.goeunmuseum.kr/,,10:00,18:00,10:00,18:00,월+명절,0,0,0,,해운대 소재 최초의 사진전문미술관,수영 요트경기장 인근 버거킹 뒤,051-746-0055,고은문화재단,2022-10-18,3330000,부산광역시 해운대구
뮤지엄다,사립,부산광역시 해운대구 센텀서로 20,부산광역시 해운대구 우동 1468-1,35.1713212016,129.1289814401,0507-1345-330,뮤지엄다,https://www.museumdah.com/,,10:00,19:00,10:00,20:00,연중무휴,18000,15000,13000,"장애인, 유공자, 단체 할인","대중을 위한 예술, 대중이 체험하고 즐길 수 있는 예술 등을 소개",부산 지하철 2호선 센텀시티역 하차,0507-1345-330,뮤지엄다,2022-10-18,3330000,부산광역시 해운대구
아세안문화박물관,사립,부산광역시 해운대구 좌동로 162,부산광역시 해운대구 좌동 1427,35.175147,129.182013,051-775-2000,아세안문화원,https://www.ach.or.kr/ach/main.do,카페,10:00,18:00,10:00,19:00,월,0,0,0,,아세안 공예품을 통해 각 국가별 역사와 문화 소개,부산 지하철 2호선 장산역 하차,051-775-2000,아세안문화원,2022-10-18,3330000,부산광역시 해운대구
합천박물관,공립,경상남도 합천군 쌍책면 황강옥전로 1558,경상남도 합천군 쌍책면 성산리 504,35.58042271,128.2829423,055-930-4882,합천박물관,https://www.hc.go.kr/museum.web,주차시설+산책로+야외조각전시+인공폭포+분수대,09:00,18:00,09:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+설 당일+추석 당일",0,0,0,,"합천박물관은 2004년 12월 9일에 개관하여, 합천 지역의 전통문화와 역사에 대한 올바른 지식을 제공하고자 설립하였다.",버스: 합천-초계(성태.초계)(합천터미널)에서 쌍책정류장 하차,055-930-4881,경상남도 합천군청,2022-08-29,5480000,경상남도 합천군
합천한의학박물관,사립,경상남도 합천군 용주면 고품길 42,경상남도 합천군 용주면 고품리 284,35.53772383,128.1012211,055-934-0601,합천한의학박물관,https://hckmm.modoo.at/,주차시설+힐링운동장 + 캠핑시설,09:00,18:00,09:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+설 당일+추석 당일",1500,3000,2500,어른(55세이상)+청소년(20~55세)+어린이(11~19세),의학박사 고 임판규 옹에 의해 2013년 8월 개관하였다. 양의학의 단점인 하나의 장기를 고치면 다른 하나의 장기는 돌보지 못한다는 한계점을 인식하고 이러한 점을 보완할 수 있는 한의학과 약초학에 관심을 가졌다. 이리하여 병이 생기기 전 예방할 수 있는 한의학을 널리 알리기 위하여 합천한의학박물관을 개관하였다. 민족의학의 정통성과 소중함을 지닌 전통한방유물 및 교육적 가치가 높은 삼국시대부터 근현대 생활상을 보여주는 도자기 및 민속유물 등 총4000여점의 유물을 보유중이며 이 중 300여점의 한의학유물을 상설전시 중이다.,버스: 합천-거창(평학.대병)(합천터미널)에서 고품삼거리정류장 하차,055-930-4895,경상남도 합천군청,2022-08-29,5480000,경상남도 합천군
해인사성보박물관,사립,경상남도 합천군 가야면 가야산로 1742-17,경상남도 합천군 가야면 치인리 산21-1,35.7935754,128.094564,055-934-3150,해인사성보박물관,,주차시설,10:00,17:00,10:00,17:00,월,0,0,0,,"해인사성보박물관은 유네스코 세계문화유산과 세계기록유산으로 등재된 장경판전과 팔만대장경이 모셔진 법보종찰 해인사에 위치하고 있는 사찰 박물관이다. 해인사와 해인사 산내 암자, 말사의 문화재들을 안전하고 효율적으로 보존,관리하고, 문화재에 대한 체계적인 연구를 통하여 관람객들에게 불교문화에 대한 올바른 이해를 도모하고자 2002년에 개관하였다.",버스: 합천시외버스터미널에서 해인사행 시외버스 탑승 후 해인사 앞에서 하차,055-930-4895,경상남도 합천군청,2022-08-29,5480000,경상남도 합천군
충현박물관,사립,경기도 광명시 오리로347번길 5-5,경기도 광명시 소하동 1085-16,37.43333925,126.8783856,02-898-0505,충현문화재단,http://www.chunghyeon.org/,,10:00,17:00,10:00,17:00,월+설 연휴+추석 연휴+12~2월,10000,5000,5000,일반 7000원(성인단체+65세이상+장애인+참전용사(단체포함))+광명시민 5000원(성인+군인(단체포함)+65세이상+장애인+참전용사(단체포함))+4000원(청소년+군인(단체포함)),조선시대 청백리 오리이원익 종가박물관,소하2동 행정복지센터+광명동굴길입구 하차 (버스 : 2+3+11-2+12+17+22+75+77+505+5627+5633),02-898-0505,경기도 광명시 충현문화재단,2022-10-12,3900000,경기도 광명시
충현박물관,사립,경기도 광명시 오리로347번길 5-6,경기도 광명시 소하동 1084,37.4339273,126.8777258,02-898-0505,충현문화재단,http://www.chunghyeon.org/,,10:00,17:00,10:00,17:00,월+설 연휴+추석 연휴+12~2월,10000,5000,5000,일반 7000원(성인단체+65세이상+장애인+참전용사(단체포함))+광명시민 5000원(성인+군인(단체포함)+65세이상+장애인+참전용사(단체포함))+4000원(청소년+군인(단체포함)),조선시대 청백리 오리이원익 종가박물관,소하2동 행정복지센터+광명동굴길입구 하차 (버스 : 2+3+11-2+12+17+22+75+77+505+5627+5633),02-898-0505,경기도 광명시 충현문화재단,2022-10-12,3900000,경기도 광명시
성호박물관,공립,경기도 안산시 상록구 성호로 131,경기도 안산시 상록구 이동 615,37.31507667,126.8595762,031-481-2574,안산시,https://www2.ansan.go.kr/seongho/main/main.do,영상실+장애인용 엘리베이터,09:00,18:00,09:00,18:00,월+1월1일+설연휴+추석연휴,0,0,0,,성호박물관은  성호 이익 서생의 생애와 사상을 조명하기 위하여 안산시가 2002년 건립한 안산 최초의 박물관(제1종 전문박물관),"시내버스 : 11, 11-2, 76, 71, 99-1, 125번 좌석버스 : 301번(서울 영등포역 - 광명 - 안산 상록수전철역) 지하철 : 4호선(상록수역, 한양대역)",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
최용신기념관,공립,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.2996048,126.8627317,031-481-3040,안산시,https://www2.ansan.go.kr/choiyongshin/main/main.do,,09:00,18:00,09:00,18:00,월+1월1일+설연휴+추석연휴,0,0,0,,최용신기념관은 애국계몽독립운동가이셨던 최용신 선생을 기리고자 안산시가 건립한 공립박물관이자 국가보훈처 지정 현충시설(제13-1-23호),4호선 상록수역 1번 출구 (500m),031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
안산향토사박물관,공립,경기도 안산시 상록구 석호로 144,경기도 안산시 상록구 사동 1586-1,37.29932623,126.8476318,031-415-0041,안산문화원,http://www.ansanculture.or.kr,문화사랑방+문헌자료실,10:00,17:00,10:00,17:00,설연휴+추석연휴,0,0,0,,"안산향토사박물관은 2005년 개관했으며, 선사시대부터 근현대사에 이르는 안산의 역사를 한 눈에 볼 수 있는 1종 전문박물관",지하철 4호선 한대앞역,031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
안산어촌민속박물관,공립,경기도 안산시 단원구 대부황금로 7,경기도 안산시 단원구 선감동 717,37.19250762,126.646123,032-886-2912,안산도시공사,https://www.ansanuc.net/home/10106/40052/contents.do,3D입체영상실+야외테라스,10:00,17:00,10:00,17:00,월+1월1일+설연휴+추석연휴,2000,1500,1000,무료(국가유공자+장애인+미취학 아동+65세이상),안산어촌민속박물관은 서해안의 갯벌 생태계와 어촌 주민들의 삶을 살펴볼 수 있는 공립박물관(제1종 전문박물관),안산 시내버스 123번 버스 탑승 후 탄도항(종점) 하차,031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
맥아트미술관,사립,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13,37.2197536,126.6024204,032-888-6262,맥아트미술관,http://www.glassisland.co.kr,문화상품점(BODA)+뮤지엄카페(MURANO),09:30,18:00,09:30,18:00,12월 31일+월,10000,9000,8000,무료(3세 미만 유아)+할인(장애인+국가유공자+경로자),"맥아트미술관은 회화, 입체, 설치, 영상 등 다양한 장르의 예술 작품들을 만날 수 있는 사립미술관(2012년 개관)","지하철 4호선 안산역 &lt;-&gt; 시내버스 123번 이용 (대부동주민센터 하차 후 4km 거리) 지하철 4호선 오이도역, &lt;-&gt; 광역버스 790번 이용 (대부동주민센터 하차 후 4km 거리)",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
유리섬미술관,사립,경기도 안산시 단원구 부흥로 254,경기도 안산시 단원구 대부남동 3-13,37.2197536,126.6024204,032-888-6262,유리섬미술관,http://www.glassisland.co.kr,문화상품점(BODA)+뮤지엄카페(MURANO),09:30,18:00,09:30,18:00,12월 31일+월,10000,9000,8000,무료(3세 미만 유아)+할인(장애인+국가유공자+경로자),유리섬 미술관은 유리예술 문화를 공유하고 창조하는 복합문화체험공간을 추구하는 사립미술관(2012년 개관),"지하철 4호선 안산역 &lt;-&gt; 시내버스 123번 이용 (대부동주민센터 하차 후 4km 거리), 지하철 4호선 오이도역 &lt;-&gt; 광역버스 790번 이용 (대부동주민센터 하차 후 4km 거리)",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
종이미술관,사립,경기도 안산시 단원구 대남로 233,경기도 안산시 단원구 대부남동 460-134,37.22451313,126.5759886,032-887-0606,종이미술관,http://종이미술관.com,문화상품점+뮤지엄카페+한옥체험관(호텔),10:00,18:00,10:00,18:00,월,9000,0,4000,무료(3세 미만 유아),종이미술관은 2014년 개관한  한국 최초의 종이조형미술관,"지하철 : 4호선 안산역↔시내버스 123번 이용, 오이도역↔광역버스 790번 이용",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
이풀실내정원,사립,경기도 안산시 상록구 반월천북길 139-18,경기도 안산시 상록구 팔곡일동 163-6,37.3106787,126.889232,031-437-2525,이풀실내정원,http://www.eunicesgarden.com,레스토랑+뮤지엄카페+문화상품점,11:00,22:00,11:00,22:00,월,0,0,0,,"‘이풀’은 ‘이로운 풀’ 즉 ‘이로운 식물’이라는 뜻의 조합어로, 이풀실내정원은 실내 생활을 하면서도 언제나 식물을 가까이 보고 즐길 수 있는 다양한 실내 가드닝 ( Gardening ) 방법을 전시하는 식물전문박물관",,031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
안산산업역사박물관,공립,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,37.3250785510,126.8099897967,031-481-3099,안산시,https://www.ansan.go.kr/aim/,4D영상실+VR체험실+카페테리아+수유실,09:00,18:00,09:00,18:00,월+1월1일+설연휴+추석연휴,0,0,0,자료이용료(사진촬영10000원+사진원판이용5000원(1회 20매까지)),"안산산업역사박물관은 시대의 흐름에 따른 안산 공단 내 기업들의 변천과정과 제품, 그 역사를 되돌아 볼 수 있는 1종 전문박물관","시내버스 : 단원구청·보건소 정류장(123, 123-1, 99, 52,11, 23, 22, 30-2, 350, 30, 101번) 지하철 : 4호선(초지역, 고잔역)",031-481-3034,경기도 안산시청,2022-09-23,3930000,경기도 안산시
국립해양박물관,국립,부산광역시 영도구 해양로301번길 45,,35.07856617,129.0802497,051-309-1900,국립해양박물관,http://www.knmm.or.kr,,09:00,18:00,09:00,19:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",0,0,0,,,,051-309-1900,해양수산부,2022-10-05,3280000,부산광역시 영도구
백제군사박물관,공립,충청남도 논산시 부적면 충곡로 311-54,충청남도 논산시 부적면 신풍리 6,36.19239139,127.1815925,041-746-8431,충청남도 논산시청,http://www.nonsan.go.kr/museum/,4D영상관+매점+물품보관소+자전거보관대+전통놀이체험+휠체어,09:00,18:00,09:00,18:00,매주 월요일+1월 1일+설날+추석,0,0,0,무료,계백장군의 충절 정신과 예학의 전통문화를 한눈에 볼 수 있는 백제군사박물관,버스 : 307번(1일 8회 운행),041-746-8433,충청남도 논산시청,2022-09-26,4540000,충청남도 논산시
숭실대학교 한국기독교박물관,대학,서울특별시 동작구 상도로 369,,37.49642897,126.9551579,02-820-0752,숭실대학교 한국기독교박물관,,,10:00,16:30,10:00,12:00,일+공휴일,0,0,0,,,,02-820-2946,서울특별시 동작구청,2022-09-26,3190000,서울특별시 동작구
부천시립박물관,공립,경기도 부천시 소사로 638,경기도 부천시 여월동 318,37.51364095,126.8017452,032-684-9057,부천문화재단,http://www.bcmuseum.or.kr,,09:00,18:00,09:00,18:00,월(월요일이 공휴일인 경우 월요일 정상 개관 후 화요일에 휴관)+1월 1일+설 연휴+추석 연휴,2000,1200,0,통합권 20퍼센트 감면,부천시립박물관은 선사시대부터 이어져오는 부천의 자랑스러운 역사를 알리고 계승하며 다양한 문화콘텐츠의 가치를 제고하여 시민을 위한 복합문화공간이 되고자 합니다.,7호선 부천종합운동장역(2번출구) 에서  도보로 15분  버스 환승은 95번 60번으로 5분 정도 소요,032-625-3132,경기도 부천시청 문화예술과 종무팀,2022-09-14,3860000,경기도 부천시
부천활박물관,공립,경기도 부천시 소사로 482,경기도 부천시 춘의동 8,37.50256527,126.7990254,032-614-2678,부천문화재단,http://www.bcmuseum.or.kr,,09:00,18:00,09:00,18:00,월(월요일이 공휴일인 경우 월요일 정상 개관 후 화요일에 휴관)+1월 1일+설 연휴+추석 연휴,2000,1200,0,통합권 20퍼센트 감면,우리 전통 활인 국궁에 담긴 선조의 얼과 슬기를 배우며 문화유산으로써 활문화를 계승하고자 2004년 12월 4일 개관하였습니다.,부천종합운동장역 2번출구로 나오시며 도보로 5분 소요,032-625-3132,경기도 부천시청 문화예술과 종무팀,2022-09-14,3860000,경기도 부천시
부천펄벅기념관,공립,경기도 부천시 성주로214번길 61,경기도 부천시 심곡본동 566-9,37.475502,126.781706,032-668-7563,부천문화재단,http://www.bcmuseum.or.kr,,09:00,18:00,09:00,18:00,월(월요일이 공휴일인 경우 월요일 정상 개관 후 화요일에 휴관)+1월 1일+설 연휴+추석 연휴,0,0,0,무료관람,부천시는 한국에서 보여준 펄벅여사의 고귀한 박애정신을 기리기 위해 옛 소사희망원 터에 2006년 9월 30일 부천펄벅기념관을 설립하였습니다.,지하철 1호선 부천역 4번 출구에서 6-2  015번 버스환승하시거나 도보 가능( 20분 소요),032-625-3132,경기도 부천시청 문화예술과 종무팀,2022-09-14,3860000,경기도 부천시
부천자연생태박물관,공립,경기도 부천시 길주로 660,경기도 부천시 춘의동 381,37.505169,126.8156874,032-625-3503,경기도 부천시청,https://ecopark.bucheon.go.kr/site/main/index149,,09:30,18:00,09:30,18:00,월(월요일이 공휴일인 경우 월요일 정상 개관 후 화요일에 휴관)+1월 1일+설 연휴+추석 연휴,2000,1500,1000,부천시민(50퍼센트 감면),부천자연생태박물관입니다.,7호선 까치울역 하차 1번 출구,032-625-3503,경기도 부천시청 공원조성과 자연생태팀,2022-09-14,3860000,경기도 부천시
