기관명,구분코드,시도명,시군구명,전화번호,운영가능일자
의료법인 길의료재단 길병원,97,인천,남동구,010-1577-2299,20200207
전남대학교병원,97,광주,동구,062-1899-0000,20200207
충남대학교병원,97,대전,중구,042-1599-7123,20200207
가톨릭대학교의정부성모병원,97,경기,의정부시,1661-7500,20200207
고려대학교의과대학부속안산병원,97,경기,안산시 단원구,031-1577-7516,20200207
국민건강보험공단일산병원,97,경기,고양시 일산동구,1577-0013,20200207
의료법인삼광의료재단삼광의원,97,서울,서초구,02-3497-5260,20200207
의료법인 이원의료재단 이원의원,97,인천,연수구,032-210-2270,20200207
재단법인서울의과학연구소 에스씨엘(SCL)의원,97,경기,용인시 기흥구,070-4908-9522,20200207
차의과학대학교 강남차병원,97,서울,강남구,02-3468-3000,20200525
국립암센터,97,경기,고양시 일산동구,031-920-0114,20200525
원광대학교 산본병원,97,경기,군포시,031-390-2300,20200525
학교법인 울산공업학원 울산대학교병원,97,울산,동구,052-250-7000,20200525
한국보훈복지의료공단 중앙보훈병원,97,서울,강동구,02-2225-1111,20200228
