수행기관,사업명,사업구분,사업주요활동내용,인원(명),구군명,전화번호,사업시작일,사업종료일,데이터기준일자
부산해운대시니어클럽,공동작업장사업2호,시장형,"전자제품?자동차 부품조립, 종이가방 제작, 해초샐러드?다시팩 포장",252,부산광역시 해운대구,051-784-9141,2020-01-01,2020-12-31,2020-12-31
부산해운대시니어클럽,스쿨존안전지킴이,시장형,"학교주변 교통정리 및 순찰, 안전지도 등",55,부산광역시 해운대구,051-784-9141,2020-01-01,2020-12-31,2020-12-31
부산해운대시니어클럽,다이나믹6070택배1호,시장형,아파트 내 택배 배송 및 반품 활동,40,부산광역시 해운대구,051-784-9141,2020-01-01,2020-12-31,2020-12-31
해운대구청(노인장애인복지과),재활용품선별작업단,공익활동,재활용품 선별작업,10,부산광역시 해운대구,051-749-6201,2020-01-01,2020-12-31,2020-12-31
해운대구청(노인장애인복지과),동물보호홍보단,공익활동,동물보호 홍보활동(홍보물 배부) 및 펫티켓 안내,30,부산광역시 해운대구,051-749-6201,2020-01-01,2020-12-31,2020-12-31
해운대구청(노인장애인복지과),노인일자리안전관리원,사회서비스형,"노인일자리 공익활동 참여자 근무활동 관리 및 안전사고 예방활동, 안전교육 등",18,부산광역시 해운대구,051-749-6201,2020-02-01,2020-12-31,2020-12-31
어진샘노인종합사회복지관,노노케어,공익활동,"취약노인가정 방문 말벗, 안부확인, 생활실태점검 등",90,부산광역시 해운대구,051-784-8008,2020-01-01,2020-12-31,2020-12-31
파랑새종합사회복지관,공공및복지시설봉사,공익활동,"공공 및 복지시설, 경로당 환경정비 등 시설관리 지원",105,부산광역시 해운대구,051-545-0115,2020-01-01,2020-12-31,2020-12-31
파랑새종합사회복지관,보육시설봉사,공익활동,"보육시설 환경정비, 급식보조 등 보육교사 업무보조",75,부산광역시 해운대구,051-545-0115,2020-01-01,2020-12-31,2020-12-31
파랑새종합사회복지관,지역환경개선봉사,공익활동,"주택 밀집지역 주거환경 정비 및 환경개선 캠페인, 석대천 생태환경 정화 및 환경보호 캠페인",70,부산광역시 해운대구,051-545-0115,2020-01-01,2020-12-31,2020-12-31
파랑새종합사회복지관,노인시설지원,사회서비스형,"노인주간보호센터 종사자 업무보조, 이용자 활동보조 등",3,부산광역시 해운대구,051-545-0115,2020-02-01,2020-12-31,2020-12-31
파랑새종합사회복지관,한부모시설지원,사회서비스형,"한부모시설 아이돌봄 보조, 시설 환경정비 등",15,부산광역시 해운대구,051-545-0115,2020-02-01,2020-12-31,2020-12-31
운봉종합사회복지관,사회서비스형-맞돌,사회서비스형,노인맞춤돌봄서비스 보조,22,부산광역시 해운대구,051-543-2431,2020-02-01,2020-12-31,2020-12-31
운봉종합사회복지관,사회서비스형-장주,사회서비스형,장애인주간보호센터 시설 보조,18,부산광역시 해운대구,051-543-2431,2020-02-01,2020-12-31,2020-12-31
반송종합사회복지관,공유공간도우미,공익활동,작은 복지관 내 보조업무 및 환경정비,10,부산광역시 해운대구,051-544-8006,2020-01-01,2020-12-31,2020-12-31
반송종합사회복지관,노노케어,공익활동,"취약노인가정 방문 말벗, 안부확인, 생활실태점검 등",40,부산광역시 해운대구,051-544-8006,2020-01-01,2020-12-31,2020-12-31
반송종합사회복지관,실버환경도우미,공익활동,공원 및 공공시설 주변정리 및 관리,60,부산광역시 해운대구,051-544-8006,2020-01-01,2020-12-31,2020-12-31
반송종합사회복지관,토이클리너,공익활동,장난감도서관 및 어린이집 장난감 세척,16,부산광역시 해운대구,051-544-8006,2020-01-01,2020-12-31,2020-12-31
